ACCOUNTNUM,PERIOD,AMOUNTRECEIVED,CHECKOFFBATCHNO,CHECKOFFPERIOD,AMOUNT
EMP1004070,Oct-19,34440,CHOF-186327,Oct-19,7500
EMP20740,Nov-19,33905,CHOF-188689,Nov-19,33905
EMP19947,Oct-19,33683.3,CHOF-185066,Oct-19,33683.3
EMP20625,Nov-19,33629.6,CHOF-188687,Nov-19,33629.6
EMP26813,Nov-19,32379.1,CHOF-189735,Nov-19,32379.1
EMP11303,Dec-19,30822.5,CHOF-193755,Dec-19,261775.7
EMP112015,Dec-19,29842,CHOF-192028,Dec-19,29842
EMP1002989,Oct-19,29500,CHOF-185455,Oct-19,29508
EMP18620,Dec-19,27844,CHOF-191951,Dec-19,27844
EMP1003018,Oct-18,27781,CHOF-194316,Oct-18,27781
EMP1003018,Oct-18,27781,CHOF-194317,Oct-18,27781
EMP1003018,Sep-18,27781,CHOF-194314,Sep-18,27781
EMP1003018,Sep-18,27781,CHOF-194315,Sep-18,27781
EMP1003018,Sep-19,27781,CHOF-194324,Sep-19,27781
EMP1003018,Sep-19,27781,CHOF-194325,Sep-19,27781
EMP11543,Aug-19,27781,CHOF-194322,Aug-19,27781
EMP11543,Aug-19,27781,CHOF-194323,Aug-19,27781
EMP11543,Dec-19,27781,CHOF-194335,Dec-19,27781
EMP11543,Jul-19,27781,CHOF-194320,Jul-19,27781
EMP11543,Jul-19,27781,CHOF-194321,Jul-19,27781
EMP11543,Jun-19,27781,CHOF-194318,Jun-19,27781
EMP11543,Jun-19,27781,CHOF-194319,Jun-19,27781
EMP11543,Nov-19,27781,CHOF-194328,Nov-19,27781
EMP11543,Nov-19,27781,CHOF-194329,Nov-19,27781
EMP102505,Oct-19,27724,CHOF-185308,Oct-19,27724
EMP1005130,Oct-19,27473,CHOF-185835,Oct-19,27473
EMP11165,Nov-19,26639.6,CHOF-190233,Nov-19,29375.6
EMP1005510,Oct-19,26303,CHOF-185829,Oct-19,26303
EMP19947,Dec-19,26071,CHOF-192145,Dec-19,30542.98
EMP119887,Oct-19,25584,CHOF-185384,Oct-19,25584
EMP119887,Oct-19,25584,CHOF-185385,Oct-19,25584
EMP11165,Dec-19,25139.6,CHOF-191948,Dec-19,25139.6
EMP74318,Nov-19,25018,CHOF-187993,Nov-19,25018
EMP74318,Nov-19,25018,CHOF-187994,Nov-19,25018
EMP1004640,Dec-19,24640,CHOF-191789,Dec-19,24640
EMP1004640,Nov-19,24640,CHOF-188913,Nov-19,24640
EMP1004640,Oct-19,24640,CHOF-184662,Oct-19,24640
EMP1004640,Sep-19,24640,CHOF-180632,Sep-19,24640
EMP10856,Oct-19,24426,CHOF-186324,Oct-19,24426
EMP22765,Nov-19,24133,CHOF-191219,Nov-19,20192
EMP27373,Oct-19,24000,CHOF-186981,Oct-19,24000
EMP1004318,Oct-19,23611,CHOF-185798,Oct-19,23611
EMP119887,Sep-19,23584,CHOF-180283,Sep-19,23584
EMP108329,Dec-19,23235,CHOF-192429,Dec-19,23235
EMP108329,Dec-19,23235,CHOF-192430,Dec-19,23235
EMP11417,Oct-19,23219,CHOF-184505,Oct-19,23219
EMP11392,Nov-16,22982,CHOF-021718,Aug-16,5203629.55
EMP34673,Dec-19,22660,CHOF-192393,Dec-19,22660
EMP20537,Oct-19,22073,CHOF-186505,Oct-19,22073
EMP130666,Oct-19,21941,CHOF-186451,Oct-19,21941
EMP10731,Dec-19,21841,CHOF-193622,Dec-19,626465
EMP96867,Nov-19,21620,CHOF-190652,Nov-19,21620
EMP144611,Sep-19,21594,CHOF-186208,Sep-19,21594
EMP19195,Dec-19,21486,CHOF-193692,Dec-19,25935
EMP10660,Nov-19,21161,CHOF-189084,Nov-19,21161
EMP10549,Dec-19,20635,CHOF-193576,Dec-19,20635
EMP53555,Dec-19,20635,CHOF-192431,Dec-19,84601
EMP1004318,Dec-19,20611,CHOF-193494,Dec-19,20611
EMP23214,Oct-19,20529.3,CHOF-186024,Oct-19,20529.3
EMP23214,Oct-19,20529.3,CHOF-186025,Oct-19,20529.3
EMP1005937,Dec-19,20177,CHOF-191917,Dec-19,20177
EMP11513,Nov-19,19919,CHOF-187409,Nov-19,1394735.26
EMP11513,Oct-19,19919,CHOF-183763,Oct-19,2672194.03
EMP10736,Nov-19,19865,CHOF-188846,Nov-19,8708
EMP15678,Oct-19,19752,CHOF-185938,Oct-19,19752
EMP1004589,Oct-19,19389,CHOF-186219,Oct-19,16389
EMP68648,Dec-19,19372,CHOF-191954,Dec-19,19372
EMP11417,Jan-20,19199,CHOF-194339,Jan-20,19199
EMP144611,Oct-19,18894,CHOF-186509,Oct-19,18894
EMP139026,Oct-19,18000,CHOF-185350,Oct-19,18000
EMP14751,Oct-19,17327,CHOF-185303,Oct-19,17327
EMP1005937,Nov-19,17203,CHOF-189098,Nov-19,17203
EMP1005937,Oct-19,17203,CHOF-185845,Oct-19,17203
EMP1003818,Dec-19,16768,CHOF-192692,Dec-19,16768
EMP102009,Dec-16,16625,CHOF-025626,Dec-16,20449.8
EMP30762,Oct-19,16556,CHOF-185262,Oct-19,16556
EMP30762,Oct-19,16556,CHOF-185263,Oct-19,16556
EMP1002402,Oct-19,16515,CHOF-185676,Oct-19,16515
